Date,SP500_Proxy,SP500_Proxy_Normalized
2020-01-02,115.49056674023063,100.0
2020-01-03,114.57240340174461,99.20498845541972
2020-01-06,114.630680123154,99.25544861251676
2020-01-07,115.40013568255367,99.92169831681545
2020-01-08,115.44088437605878,99.95698145262062
2020-01-09,116.65265332436076,101.00621775174415
2020-01-10,117.30188237404337,101.56836673759415
2020-01-13,116.4255111460783,100.80954179396366
2020-01-14,117.26674671562351,101.53794376937122
2020-01-15,116.58369628750548,100.9465098129907
2020-01-16,117.94637090332654,102.12641104153526
2020-01-17,118.86204034454968,102.91926319134133
2020-01-21,118.6136970714647,102.70422980801439
2020-01-22,118.9476883557378,102.99342337048458
2020-01-23,118.64260768890381,102.72926269014071
2020-01-24,119.49684765874123,103.4689248062327
2020-01-27,116.31317551281987,100.71227356121604
2020-01-28,117.24718839295056,101.52100877353129
2020-01-29,118.60054477380247,102.69284160719985
2020-01-30,117.51233630277673,101.75059281429763
2020-01-31,119.01981910394163,103.05587933571165
2020-02-03,118.28965837128308,102.42365390529977
2020-02-04,120.13047595899933,104.01756554646155
2020-02-05,121.36621412938955,105.08755611389009
2020-02-06,121.99047723108409,105.62808779480102
2020-02-07,120.7178235735212,104.52613315600752
2020-02-10,120.60464806459387,104.42813769878383
2020-02-11,122.18587279806331,105.79727526395486
2020-02-12,122.55070390506667,106.11317215259336
2020-02-13,121.95106623124103,105.59396292992638
2020-02-14,122.51095238510443,106.07875244102362
2020-02-18,122.77875232696533,106.31063280096961
2020-02-19,123.31147332094153,106.7719007720364
2020-02-20,123.28045385711047,106.74504189974354
2020-02-21,122.37256201919244,105.95892415563367
2020-02-24,117.76607647720648,101.97029922114251
2020-02-25,117.92682554283921,102.10948726928355
2020-02-26,114.51460285576023,99.15494060509235
2020-02-27,111.42648513949648,96.48102722547429
2020-02-28,105.07394531794957,90.98054350559137
2020-03-02,106.40875327830412,92.1363157890168
2020-03-03,111.18814032418388,96.2746512226197
2020-03-04,109.69011357365822,94.97755242675431
2020-03-05,108.72346889729403,94.14056226933441
2020-03-06,102.99281141709308,89.17854879762746
2020-03-09,95.3338319428113,82.54685610578287
2020-03-10,97.5724259590616,84.4851910533336
2020-03-11,96.59056708277488,83.63502735252227
2020-03-12,87.2451695422737,75.54311317781614
2020-03-13,90.28954583771375,78.17915210408417
2020-03-16,81.27591793877738,70.37450783455657
2020-03-17,82.92047625171895,71.79848414652724
2020-03-18,80.6052042026909,69.79375586925094
2020-03-19,78.89058972378166,68.30911991386087
2020-03-20,81.43945606387392,70.51611085003432
2020-03-23,76.9540819829824,66.6323528882431
2020-03-24,77.1162808865917,66.77279630988994
2020-03-25,82.44473920549665,71.38655695658422
2020-03-26,85.40954644339425,73.95369929693332
2020-03-27,86.94435399892379,75.28264554670083
2020-03-30,87.92476183054399,76.1315528291678
2020-03-31,89.31698450750234,77.33703888422357
2020-04-01,83.19770923925905,72.03853231268064
2020-04-02,81.59306099950051,70.6491129990082
2020-04-03,83.46850305674027,72.27300498445332
2020-04-06,87.22124744921314,75.52239971719699
2020-04-07,94.12563427127138,81.50071207372743
2020-04-08,90.96804949702049,78.76664914255042
2020-04-09,94.8454424799705,82.12397354781662
2020-04-13,96.36965963791828,83.44374987325118
2020-04-14,95.93943340924321,83.07122920700252
2020-04-15,92.01285706734171,79.6713183287977
2020-04-16,91.26405858020394,79.02295499638629
2020-04-17,94.08634896181067,81.46669604058329
2020-04-20,93.71811811291441,81.14785541204562
2020-04-21,91.1324489359953,78.90899794524059
2020-04-22,92.4456008210474,80.04601884843326
2020-04-23,92.41628140819316,80.02063200197315
2020-04-24,92.49859352501072,80.09190372497258
2020-04-27,93.71510221520249,81.1452440319156
2020-04-28,98.47086186311682,85.26312117300826
2020-04-29,99.4641277352158,86.12316186735613
2020-04-30,97.53820802727525,84.45556271852482
2020-05-01,94.8501590417356,82.1280574846248
2020-05-04,93.10151942895384,80.61396013266105
2020-05-05,95.27741476954246,82.49800607858043
2020-05-06,96.27816392937486,83.36452633913413
2020-05-07,96.01101972618882,83.13321376467347
2020-05-08,98.9185040921581,85.65072185908693
2020-05-11,97.08770964097003,84.06548896703089
2020-05-12,97.70888822905872,84.603349855259
2020-05-13,94.57249397161056,81.88763519043901
2020-05-14,91.77707560208378,79.46716185791618
2020-05-15,94.23117974339699,81.59210089889703
2020-05-18,98.4489680601626,85.244163951157
2020-05-19,99.05299408581791,85.7671729229754
2020-05-20,99.45231270303532,86.11293156672296
2020-05-21,99.60705136279671,86.24691537520962
2020-05-22,99.60927461118115,86.24884042281064
2020-05-26,103.06850373015112,89.24408862065759
2020-05-27,105.28167806352887,91.16041338712598
2020-05-28,105.32739142982327,91.19999529202495
2020-05-29,103.25383234997184,89.4045594063258
2020-06-01,103.95233524088957,90.00937321115269
2020-06-02,105.16943394407934,91.06322439358506
2020-06-03,107.12281221272994,92.75459912988217
2020-06-04,107.68734669198795,93.24341349385338
2020-06-05,112.85798197376485,97.7205196573438
2020-06-08,112.839886081462,97.70485093840544
2020-06-09,111.33559982144102,96.40233221113613
2020-06-10,111.59238136057951,96.62467204925993
2020-06-11,106.35267553524095,92.08775966478434
2020-06-12,105.94700760744055,91.73650333342279
2020-06-15,101.56063463249986,87.93846761609288
2020-06-16,109.54544289258061,94.8522861949217
2020-06-17,107.83530597297512,93.37152723089994
2020-06-18,106.24691618705282,91.99618565040963
2020-06-19,109.1664625673878,94.52413790031228
2020-06-22,106.32115733866789,92.060468953982
2020-06-23,108.13709741709184,93.63283986675836
2020-06-24,106.01305025451038,91.79368778487533
2020-06-25,103.16850381967973,89.33067585661213
2020-06-26,104.4472567305273,90.43791166551057
2020-06-29,103.48285618606879,89.6028646381393
2020-06-30,103.10242563364457,89.27346063297938
2020-07-01,105.45359405206175,91.30927055649079
2020-07-02,106.9781858288512,92.62937125373531
2020-07-06,107.06848082250478,92.70755512294836
2020-07-07,105.91843612826601,91.71176410148291
2020-07-08,105.52639517492177,91.37230698008352
2020-07-09,106.82795857410042,92.49929374265281
2020-07-10,105.05512496403286,90.96424749592762
2020-07-13,107.60895725172394,93.17553830501623
2020-07-14,105.77192717182393,91.58490615924802
2020-07-15,109.02854940842609,94.40472281486039
2020-07-16,108.42571340288434,93.88274424764315
2020-07-17,109.50344601456,94.81592229161254
2020-07-20,108.86473826972805,94.26288340466294
2020-07-21,110.20789097766487,95.4258811678984
2020-07-22,110.09290261171301,95.32631600929068
2020-07-23,110.70081576522516,95.85269073466502
2020-07-24,110.37825337234808,95.57339312449517
2020-07-27,109.50848020826068,94.82028125688804
2020-07-28,109.61900255631427,94.91597941750248
2020-07-29,108.93598607121682,94.32457485141896
2020-07-30,109.51786745810995,94.82840940978765
2020-07-31,109.87108861183634,95.13425356978807
2020-08-03,110.54979546216069,95.72192654558266
2020-08-04,110.17349321015027,95.39609711844268
2020-08-05,110.79358303303621,95.93301527581971
2020-08-06,111.1792972136517,96.26699422449269
2020-08-07,110.77330945462597,95.91546096036134
2020-08-10,112.39825431668028,97.32245454253784
2020-08-11,113.15875253871995,97.98094834294514
2020-08-12,113.67795957837787,98.43051496497561
2020-08-13,111.90662123232471,96.8967634248716
2020-08-14,112.36514722084513,97.29378804901407
2020-08-17,112.98798222444495,97.83308318036514
2020-08-18,113.10780081457021,97.93683069283061
2020-08-19,112.61780080989915,97.51255361245813
2020-08-20,110.88804943707524,96.01481105075213
2020-08-21,111.32643929306342,96.39440036991638
2020-08-24,111.40455773411965,96.46204090824013
2020-08-25,112.72092996324811,97.60185021586032
2020-08-26,112.29843573667566,97.2360244705224
2020-08-27,112.8210886741171,97.68857479752619
2020-08-28,114.36973659359678,99.02950502515509
2020-08-31,114.4509746979694,99.0998467912972
2020-09-01,113.32135980956409,98.1217453581766
2020-09-02,114.30337501058773,98.97204441613555
2020-09-03,115.81668984160132,100.2823807264746
2020-09-04,113.51690512287374,98.29106248842281
2020-09-08,109.74838967225989,95.02801204457984
2020-09-09,109.94795906300448,95.20081350913017
2020-09-10,110.66854846720793,95.82475139820838
2020-09-11,108.79700228632713,94.20423274139858
2020-09-14,109.56167791327651,94.86634363801349
2020-09-15,110.90743827819824,96.03159929733388
2020-09-16,110.30586184287557,95.51071135617781
